Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,1426.030029,1430.660034,1420.819946,1428.329956,1428.329956,34608600
2017-08-02,1428.030029,1428.030029,1408.520020,1412.900024,1412.900024,34785800
2017-08-03,1413.089966,1414.719971,1402.390015,1405.229980,1405.229980,36450200
2017-08-04,1405.140015,1413.040039,1405.140015,1412.319946,1412.319946,32351400
2017-08-07,1412.400024,1417.420044,1408.619995,1414.170044,1414.170044,29317800
2017-08-08,1413.930054,1426.290039,1407.569946,1410.150024,1410.150024,33446400
2017-08-09,1409.780029,1409.780029,1393.239990,1396.949951,1396.949951,33080600
2017-08-10,1396.599976,1396.599976,1372.540039,1372.540039,1372.540039,36210700
2017-08-11,1372.260010,1376.369995,1368.329956,1374.229980,1374.229980,31599300
2017-08-14,1375.130005,1394.530029,1375.130005,1394.310059,1394.310059,28225500
2017-08-15,1394.699951,1395.880005,1382.949951,1383.239990,1383.239990,29131000
2017-08-16,1384.180054,1391.680054,1381.900024,1383.530029,1383.530029,29536500
2017-08-17,1383.069946,1384.739990,1358.800049,1358.939941,1358.939941,31426200
2017-08-18,1357.010010,1362.339966,1349.349976,1357.790039,1357.790039,34156800
2017-08-21,1357.739990,1358.089966,1351.199951,1356.900024,1356.900024,27881500
2017-08-22,1357.890015,1372.329956,1357.890015,1371.540039,1371.540039,27774900
2017-08-23,1370.680054,1373.280029,1363.170044,1369.739990,1369.739990,27852900
2017-08-24,1370.160034,1377.050049,1370.160034,1373.880005,1373.880005,28465900
2017-08-25,1374.380005,1380.599976,1373.530029,1377.449951,1377.449951,25887800
2017-08-28,1377.760010,1382.530029,1377.060059,1382.229980,1382.229980,26777000
2017-08-29,1381.310059,1385.189941,1371.800049,1383.680054,1383.680054,27375800
2017-08-30,1383.209961,1392.770020,1381.199951,1391.319946,1391.319946,26336600
2017-08-31,1392.042358,1406.444214,1392.042358,1405.276611,1405.276611,0
